SampleID	Sex	ID	Population	Sub-population	Cohort
NA18567	female	SAME123924	EAS	NA	1000 Genomes Project
NA11918	female	SAME123135	EUR	NA	1000 Genomes Project
HG04211	male	SAME1839321	SAS	NA	1000 Genomes Project
NA18574	female	SAME123737	EAS	NA	1000 Genomes Project
NA11920	female	SAME124901	EUR	NA	1000 Genomes Project
HG04216	female	SAME1839339	SAS	NA	1000 Genomes Project
NA18579	female	SAME123742	EAS	NA	1000 Genomes Project
NA11932	male	SAME125097	EUR	NA	1000 Genomes Project
NA18593	female	SAME123720	EAS	NA	1000 Genomes Project
NA11994	male	SAME123967	EUR	NA	1000 Genomes Project
NA18550	female	SAME124087	EAS	NA	1000 Genomes Project
NA07051	male	SAME124378	EUR	NA	1000 Genomes Project
NA18555	female	SAME124090	EAS	NA	1000 Genomes Project
NA07056	female	SAME124375	EUR	NA	1000 Genomes Project
NA07347	male	SAME123572	EUR	NA	1000 Genomes Project
NA12005	male	SAME125143	EUR	NA	1000 Genomes Project
NA18606	male	SAME124879	EAS	NA	1000 Genomes Project
NA12043	male	SAME123214	EUR	NA	1000 Genomes Project
NA12892	female	SAME123181	EUR	NA	1000 Genomes Project
NA18613	male	SAME125037	EAS	NA	1000 Genomes Project
NA12144	male	SAME124156	EUR	NA	1000 Genomes Project
NA18531	female	SAME124483	EAS	NA	1000 Genomes Project
HG04210	male	SAME1839225	SAS	NA	1000 Genomes Project
NA18489	female	SAME124102	AFR	NA	1000 Genomes Project
NA18536	male	SAME124486	EAS	NA	1000 Genomes Project
NA12828	female	SAME125076	EUR	NA	1000 Genomes Project
NA18543	male	SAME124268	EAS	NA	1000 Genomes Project
HG04222	male	SAME1839040	SAS	NA	1000 Genomes Project
NA12830	female	SAME125289	EUR	NA	1000 Genomes Project
NA18548	male	SAME124261	EAS	NA	1000 Genomes Project
HG04227	female	SAME1839056	SAS	NA	1000 Genomes Project
NA12842	male	SAME123542	EUR	NA	1000 Genomes Project
NA18916	female	SAME123408	AFR	NA	1000 Genomes Project
NA12873	female	SAME123388	EUR	NA	1000 Genomes Project
NA18923	male	SAME123205	AFR	NA	1000 Genomes Project
NA07037	female	SAME122862	EUR	NA	1000 Genomes Project
NA11894	female	SAME123043	EUR	NA	1000 Genomes Project
NA11919	male	SAME122834	EUR	NA	1000 Genomes Project
NA18877	male	SAME125104	AFR	NA	1000 Genomes Project
NA11933	female	SAME125098	EUR	NA	1000 Genomes Project
NA18909	female	SAME123561	AFR	NA	1000 Genomes Project
NA11995	female	SAME123968	EUR	NA	1000 Genomes Project
NA12006	female	SAME125145	EUR	NA	1000 Genomes Project
NA18853	male	SAME124733	AFR	NA	1000 Genomes Project
NA12044	female	SAME123212	EUR	NA	1000 Genomes Project
NA18858	female	SAME124730	AFR	NA	1000 Genomes Project
HG04239	male	SAME1840281	SAS	NA	1000 Genomes Project
NA12889	male	SAME123951	EUR	NA	1000 Genomes Project
NA12342	male	SAME125155	EUR	NA	1000 Genomes Project
NA18942	female	SAME124308	EAS	NA	1000 Genomes Project
NA12891	male	SAME124117	EUR	NA	1000 Genomes Project
NA12347	male	SAME125316	EUR	NA	1000 Genomes Project
NA18947	female	SAME124313	EAS	NA	1000 Genomes Project
NA18488	female	SAME124103	AFR	NA	1000 Genomes Project
NA12400	female	SAME123881	EUR	NA	1000 Genomes Project
NA18740	male	SAME123917	EAS	NA	1000 Genomes Project
NA12827	male	SAME125077	EUR	NA	1000 Genomes Project
NA12234	female	SAME124003	EUR	NA	1000 Genomes Project
NA18745	male	SAME123914	EAS	NA	1000 Genomes Project
NA18757	male	SAME123727	EAS	NA	1000 Genomes Project
NA12872	male	SAME123387	EUR	NA	1000 Genomes Project
NA12272	male	SAME123231	EUR	NA	1000 Genomes Project
NA18508	female	SAME124318	AFR	NA	1000 Genomes Project
NA12760	male	SAME124465	EUR	NA	1000 Genomes Project
NA18618	female	SAME125042	EAS	NA	1000 Genomes Project
NA18510	male	SAME124886	AFR	NA	1000 Genomes Project
NA12777	male	SAME125252	EUR	NA	1000 Genomes Project
NA18620	male	SAME124510	EAS	NA	1000 Genomes Project
NA18637	male	SAME124700	EAS	NA	1000 Genomes Project
NA12776	female	SAME124256	EUR	NA	1000 Genomes Project
NA18644	female	SAME122976	EAS	NA	1000 Genomes Project
NA12815	female	SAME123022	EUR	NA	1000 Genomes Project
NA18625	female	SAME125253	EAS	NA	1000 Genomes Project
NA12283	female	SAME124639	EUR	NA	1000 Genomes Project
NA18632	male	SAME124703	EAS	NA	1000 Genomes Project
NA12341	female	SAME125158	EUR	NA	1000 Genomes Project
NA18865	male	SAME124902	AFR	NA	1000 Genomes Project
NA12156	female	SAME124952	EUR	NA	1000 Genomes Project
NA18511	female	SAME124885	AFR	NA	1000 Genomes Project
NA18516	male	SAME124884	AFR	NA	1000 Genomes Project
NA18523	female	SAME124670	AFR	NA	1000 Genomes Project
NA19058	male	SAME125024	EAS	NA	1000 Genomes Project
NA18528	female	SAME124661	EAS	NA	1000 Genomes Project
NA19060	male	SAME123007	EAS	NA	1000 Genomes Project
NA18542	female	SAME124267	EAS	NA	1000 Genomes Project
NA19027	male	SAME124850	AFR	NA	1000 Genomes Project
NA18547	female	SAME124264	EAS	NA	1000 Genomes Project
NA19041	male	SAME125241	AFR	NA	1000 Genomes Project
NA18566	female	SAME123923	EAS	NA	1000 Genomes Project
NA18973	female	SAME123761	EAS	NA	1000 Genomes Project
NA18609	male	SAME124867	EAS	NA	1000 Genomes Project
NA18573	female	SAME123738	EAS	NA	1000 Genomes Project
NA18978	female	SAME123760	EAS	NA	1000 Genomes Project
NA18611	male	SAME123225	EAS	NA	1000 Genomes Project
NA18592	female	SAME123721	EAS	NA	1000 Genomes Project
NA18980	female	SAME123527	EAS	NA	1000 Genomes Project
NA18616	female	SAME125032	EAS	NA	1000 Genomes Project
NA18597	female	SAME123232	EAS	NA	1000 Genomes Project
NA19065	female	SAME123011	EAS	NA	1000 Genomes Project
NA18553	female	SAME124088	EAS	NA	1000 Genomes Project
NA18559	male	SAME124093	EAS	NA	1000 Genomes Project
NA19072	male	SAME122822	EAS	NA	1000 Genomes Project
NA18558	male	SAME124094	EAS	NA	1000 Genomes Project
NA18561	male	SAME123926	EAS	NA	1000 Genomes Project
NA19077	female	SAME122818	EAS	NA	1000 Genomes Project
NA18560	female	SAME123925	EAS	NA	1000 Genomes Project
NA18605	male	SAME124877	EAS	NA	1000 Genomes Project
NA18954	female	SAME124108	EAS	NA	1000 Genomes Project
NA18565	female	SAME123922	EAS	NA	1000 Genomes Project
NA18612	male	SAME125036	EAS	NA	1000 Genomes Project
NA18959	male	SAME124115	EAS	NA	1000 Genomes Project
NA18572	male	SAME123739	EAS	NA	1000 Genomes Project
NA18504	male	SAME125061	AFR	NA	1000 Genomes Project
NA18961	male	SAME123957	EAS	NA	1000 Genomes Project
NA18577	female	SAME123734	EAS	NA	1000 Genomes Project
NA18530	male	SAME124484	EAS	NA	1000 Genomes Project
NA18985	male	SAME123413	EAS	NA	1000 Genomes Project
NA18522	male	SAME124669	AFR	NA	1000 Genomes Project
NA18535	female	SAME124487	EAS	NA	1000 Genomes Project
NA18992	female	SAME124983	EAS	NA	1000 Genomes Project
NA18934	male	SAME123036	AFR	NA	1000 Genomes Project
NA18997	female	SAME124898	EAS	NA	1000 Genomes Project
NA18628	female	SAME124502	EAS	NA	1000 Genomes Project
NA18939	female	SAME123041	EAS	NA	1000 Genomes Project
NA19003	female	SAME124480	EAS	NA	1000 Genomes Project
NA18630	female	SAME124895	EAS	NA	1000 Genomes Project
NA18941	female	SAME124311	EAS	NA	1000 Genomes Project
NA19010	female	SAME123989	EAS	NA	1000 Genomes Project
NA18635	male	SAME123661	EAS	NA	1000 Genomes Project
NA18908	male	SAME123560	AFR	NA	1000 Genomes Project
NA18966	male	SAME123962	EAS	NA	1000 Genomes Project
NA18534	male	SAME124488	EAS	NA	1000 Genomes Project
NA18910	male	SAME123402	AFR	NA	1000 Genomes Project
NA18539	female	SAME124475	EAS	NA	1000 Genomes Project
NA18915	male	SAME123405	AFR	NA	1000 Genomes Project
NA19159	female	SAME124716	AFR	NA	1000 Genomes Project
NA18541	female	SAME124270	EAS	NA	1000 Genomes Project
NA18749	male	SAME123910	EAS	NA	1000 Genomes Project
NA18623	male	SAME124507	EAS	NA	1000 Genomes Project
NA18591	female	SAME123719	EAS	NA	1000 Genomes Project
NA19197	female	SAME125309	AFR	NA	1000 Genomes Project
NA18596	female	SAME123718	EAS	NA	1000 Genomes Project
NA19200	male	SAME122989	AFR	NA	1000 Genomes Project
NA18546	male	SAME124263	EAS	NA	1000 Genomes Project
NA18871	male	SAME125102	AFR	NA	1000 Genomes Project
NA18933	female	SAME123037	AFR	NA	1000 Genomes Project
NA18876	female	SAME125103	AFR	NA	1000 Genomes Project
NA18940	male	SAME124310	EAS	NA	1000 Genomes Project
NA18629	male	SAME124501	EAS	NA	1000 Genomes Project
NA18868	male	SAME124910	AFR	NA	1000 Genomes Project
NA18631	female	SAME124056	EAS	NA	1000 Genomes Project
NA19116	female	SAME124911	AFR	NA	1000 Genomes Project
NA18870	female	SAME125101	AFR	NA	1000 Genomes Project
NA18636	male	SAME124320	EAS	NA	1000 Genomes Project
NA18617	female	SAME125033	EAS	NA	1000 Genomes Project
NA18907	female	SAME123563	AFR	NA	1000 Genomes Project
NA18624	male	SAME124506	EAS	NA	1000 Genomes Project
NA19130	male	SAME125229	AFR	NA	1000 Genomes Project
NA19091	male	SAME123174	EAS	NA	1000 Genomes Project
NA18856	male	SAME124736	AFR	NA	1000 Genomes Project
NA18864	female	SAME124903	AFR	NA	1000 Genomes Project
NA19096	male	SAME123662	AFR	NA	1000 Genomes Project
NA18643	male	SAME122981	EAS	NA	1000 Genomes Project
NA18642	female	SAME122982	EAS	NA	1000 Genomes Project
NA18648	male	SAME122974	EAS	NA	1000 Genomes Project
NA19236	male	SAME125001	AFR	NA	1000 Genomes Project
NA18647	male	SAME122977	EAS	NA	1000 Genomes Project
NA18946	female	SAME124312	EAS	NA	1000 Genomes Project
NA18957	female	SAME124109	EAS	NA	1000 Genomes Project
NA18965	male	SAME123961	EAS	NA	1000 Genomes Project
NA19185	female	SAME123858	AFR	NA	1000 Genomes Project
NA18964	female	SAME123960	EAS	NA	1000 Genomes Project
NA18972	female	SAME123762	EAS	NA	1000 Genomes Project
NA18969	female	SAME123954	EAS	NA	1000 Genomes Project
NA18953	male	SAME124113	EAS	NA	1000 Genomes Project
NA19147	female	SAME124613	AFR	NA	1000 Genomes Project
NA18971	male	SAME123763	EAS	NA	1000 Genomes Project
NA18960	male	SAME123956	EAS	NA	1000 Genomes Project
NA19084	female	SAME123364	EAS	NA	1000 Genomes Project
NA18945	male	SAME124315	EAS	NA	1000 Genomes Project
NA19002	female	SAME124479	EAS	NA	1000 Genomes Project
NA19089	male	SAME123649	EAS	NA	1000 Genomes Project
NA18952	male	SAME124114	EAS	NA	1000 Genomes Project
NA19007	male	SAME124476	EAS	NA	1000 Genomes Project
NA19440	female	SAME122951	AFR	NA	1000 Genomes Project
NA18748	male	SAME123909	EAS	NA	1000 Genomes Project
NA18989	male	SAME125079	EAS	NA	1000 Genomes Project
NA19445	female	SAME122948	AFR	NA	1000 Genomes Project
NA18991	female	SAME124892	EAS	NA	1000 Genomes Project
NA19452	male	SAME125414	AFR	NA	1000 Genomes Project
NA19099	female	SAME125240	AFR	NA	1000 Genomes Project
NA18977	male	SAME123765	EAS	NA	1000 Genomes Project
NA19457	female	SAME125409	AFR	NA	1000 Genomes Project
NA19102	female	SAME125112	AFR	NA	1000 Genomes Project
NA18984	male	SAME125071	EAS	NA	1000 Genomes Project
NA19037	female	SAME124665	AFR	NA	1000 Genomes Project
NA19057	female	SAME125025	EAS	NA	1000 Genomes Project
NA19471	female	SAME123117	AFR	NA	1000 Genomes Project
NA19044	male	SAME125244	AFR	NA	1000 Genomes Project
NA19064	female	SAME123010	EAS	NA	1000 Genomes Project
NA19068	male	SAME123012	EAS	NA	1000 Genomes Project
NA19019	female	SAME124000	AFR	NA	1000 Genomes Project
NA19318	male	SAME124753	AFR	NA	1000 Genomes Project
NA19070	male	SAME122820	EAS	NA	1000 Genomes Project
NA19026	male	SAME124849	AFR	NA	1000 Genomes Project
NA19248	male	SAME123681	AFR	NA	1000 Genomes Project
NA19075	male	SAME122816	EAS	NA	1000 Genomes Project
NA19076	male	SAME122819	EAS	NA	1000 Genomes Project
NA19394	male	SAME124489	AFR	NA	1000 Genomes Project
NA19082	male	SAME123370	EAS	NA	1000 Genomes Project
NA19038	female	SAME124668	AFR	NA	1000 Genomes Project
NA19399	female	SAME124498	AFR	NA	1000 Genomes Project
NA18988	male	SAME125078	EAS	NA	1000 Genomes Project
NA18990	male	SAME124893	EAS	NA	1000 Genomes Project
NA19184	male	SAME123859	AFR	NA	1000 Genomes Project
NA19320	female	SAME124570	AFR	NA	1000 Genomes Project
NA18995	male	SAME124896	EAS	NA	1000 Genomes Project
NA19189	male	SAME123869	AFR	NA	1000 Genomes Project
NA19332	female	SAME123723	AFR	NA	1000 Genomes Project
NA19056	male	SAME125026	EAS	NA	1000 Genomes Project
NA19351	female	SAME122854	AFR	NA	1000 Genomes Project
NA19063	male	SAME123006	EAS	NA	1000 Genomes Project
NA19375	male	SAME125116	AFR	NA	1000 Genomes Project
NA18976	female	SAME123766	EAS	NA	1000 Genomes Project
NA19153	male	SAME123019	AFR	NA	1000 Genomes Project
NA19438	female	SAME123848	AFR	NA	1000 Genomes Project
NA18983	male	SAME125074	EAS	NA	1000 Genomes Project
NA19160	male	SAME123758	AFR	NA	1000 Genomes Project
NA19020	male	SAME124855	AFR	NA	1000 Genomes Project
NA19172	female	SAME124420	AFR	NA	1000 Genomes Project
NA19025	male	SAME124852	AFR	NA	1000 Genomes Project
NA19141	male	SAME124607	AFR	NA	1000 Genomes Project
NA19700	male	SAME124233	AFR	NA	1000 Genomes Project
NA19001	female	SAME124478	EAS	NA	1000 Genomes Project
NA19146	male	SAME125080	AFR	NA	1000 Genomes Project
NA19654	female	SAME123128	AMR	NA	1000 Genomes Project
NA19006	male	SAME125119	EAS	NA	1000 Genomes Project
NA19108	female	SAME125378	AFR	NA	1000 Genomes Project
NA19087	female	SAME123367	EAS	NA	1000 Genomes Project
NA19661	male	SAME122959	AMR	NA	1000 Genomes Project
NA19107	male	SAME123393	AFR	NA	1000 Genomes Project
NA19114	female	SAME122953	AFR	NA	1000 Genomes Project
NA19223	male	SAME125223	AFR	NA	1000 Genomes Project
NA19750	male	SAME123698	AMR	NA	1000 Genomes Project
NA19119	male	SAME122944	AFR	NA	1000 Genomes Project
NA19204	female	SAME122985	AFR	NA	1000 Genomes Project
NA19755	female	SAME123695	AMR	NA	1000 Genomes Project
NA19121	male	SAME125015	AFR	NA	1000 Genomes Project
NA19209	female	SAME122994	AFR	NA	1000 Genomes Project
NA19774	male	SAME124064	AMR	NA	1000 Genomes Project
NA19239	male	SAME125081	AFR	NA	1000 Genomes Project
NA19095	female	SAME123170	AFR	NA	1000 Genomes Project
NA19779	female	SAME124061	AMR	NA	1000 Genomes Project
NA19210	male	SAME125383	AFR	NA	1000 Genomes Project
NA19729	male	SAME124701	AMR	NA	1000 Genomes Project
NA19222	female	SAME124147	AFR	NA	1000 Genomes Project
NA19731	female	SAME124870	AMR	NA	1000 Genomes Project
NA19717	male	SAME124451	AMR	NA	1000 Genomes Project
NA19309	male	SAME124984	AFR	NA	1000 Genomes Project
NA19083	male	SAME123371	EAS	NA	1000 Genomes Project
NA19088	male	SAME123360	EAS	NA	1000 Genomes Project
NA19090	female	SAME123175	EAS	NA	1000 Genomes Project
NA19712	female	SAME124447	AFR	NA	1000 Genomes Project
NA19190	female	SAME124041	AFR	NA	1000 Genomes Project
NA19235	female	SAME125002	AFR	NA	1000 Genomes Project
NA19678	female	SAME122797	AMR	NA	1000 Genomes Project
NA19247	female	SAME123691	AFR	NA	1000 Genomes Project
NA19762	male	SAME123897	AMR	NA	1000 Genomes Project
NA19152	female	SAME123017	AFR	NA	1000 Genomes Project
NA19437	female	SAME123851	AFR	NA	1000 Genomes Project
NA20334	female	SAME124196	AFR	NA	1000 Genomes Project
NA19138	male	SAME125236	AFR	NA	1000 Genomes Project
NA20339	female	SAME124201	AFR	NA	1000 Genomes Project
NA19324	female	SAME123472	AFR	NA	1000 Genomes Project
NA19171	male	SAME124419	AFR	NA	1000 Genomes Project
NA19331	male	SAME123250	AFR	NA	1000 Genomes Project
NA19350	male	SAME122853	AFR	NA	1000 Genomes Project
NA19818	male	SAME124677	AFR	NA	1000 Genomes Project
NA19379	female	SAME125092	AFR	NA	1000 Genomes Project
NA19431	female	SAME123853	AFR	NA	1000 Genomes Project
NA19436	female	SAME123852	AFR	NA	1000 Genomes Project
NA19393	male	SAME124496	AFR	NA	1000 Genomes Project
NA19921	female	SAME124712	AFR	NA	1000 Genomes Project
NA19443	male	SAME122954	AFR	NA	1000 Genomes Project
NA19312	male	SAME123315	AFR	NA	1000 Genomes Project
NA19786	male	SAME123149	AMR	NA	1000 Genomes Project
NA19355	female	SAME124077	AFR	NA	1000 Genomes Project
NA20276	female	SAME123614	AFR	NA	1000 Genomes Project
NA19378	female	SAME125091	AFR	NA	1000 Genomes Project
NA19374	male	SAME125115	AFR	NA	1000 Genomes Project
NA19914	female	SAME125273	AFR	NA	1000 Genomes Project
NA19397	male	SAME124492	AFR	NA	1000 Genomes Project
NA19449	female	SAME122946	AFR	NA	1000 Genomes Project
NA20346	male	SAME124402	AFR	NA	1000 Genomes Project
NA19429	male	SAME124037	AFR	NA	1000 Genomes Project
NA19451	male	SAME125415	AFR	NA	1000 Genomes Project
NA19328	female	SAME123463	AFR	NA	1000 Genomes Project
NA19456	female	SAME125410	AFR	NA	1000 Genomes Project
NA19347	male	SAME124340	AFR	NA	1000 Genomes Project
NA19380	male	SAME124276	AFR	NA	1000 Genomes Project
NA19401	female	SAME123634	AFR	NA	1000 Genomes Project
NA19385	male	SAME124271	AFR	NA	1000 Genomes Project
NA19317	male	SAME123312	AFR	NA	1000 Genomes Project
NA19462	female	SAME123296	AFR	NA	1000 Genomes Project
NA19658	male	SAME123132	AMR	NA	1000 Genomes Project
NA20524	male	SAME124016	EUR	NA	1000 Genomes Project
NA19467	female	SAME123295	AFR	NA	1000 Genomes Project
NA19660	female	SAME122958	AMR	NA	1000 Genomes Project
NA20529	female	SAME124011	EUR	NA	1000 Genomes Project
NA19474	female	SAME123122	AFR	NA	1000 Genomes Project
NA20531	female	SAME124170	EUR	NA	1000 Genomes Project
NA19652	male	SAME124978	AMR	NA	1000 Genomes Project
NA19723	male	SAME124695	AMR	NA	1000 Genomes Project
NA20581	male	SAME122859	EUR	NA	1000 Genomes Project
NA19316	female	SAME123311	AFR	NA	1000 Genomes Project
NA19728	female	SAME124702	AMR	NA	1000 Genomes Project
NA20586	male	SAME122864	EUR	NA	1000 Genomes Project
NA19323	female	SAME123471	AFR	NA	1000 Genomes Project
NA20752	male	SAME124177	EUR	NA	1000 Genomes Project
NA19448	male	SAME122945	AFR	NA	1000 Genomes Project
NA19463	female	SAME123297	AFR	NA	1000 Genomes Project
NA20783	male	SAME123607	EUR	NA	1000 Genomes Project
NA19455	male	SAME125411	AFR	NA	1000 Genomes Project
NA19468	female	SAME123299	AFR	NA	1000 Genomes Project
NA20790	female	SAME123815	EUR	NA	1000 Genomes Project
NA19657	female	SAME123129	AMR	NA	1000 Genomes Project
NA20795	female	SAME123818	EUR	NA	1000 Genomes Project
NA19664	male	SAME122955	AMR	NA	1000 Genomes Project
NA19735	male	SAME124874	AMR	NA	1000 Genomes Project
NA20512	male	SAME124560	EUR	NA	1000 Genomes Project
NA19669	female	SAME123903	AMR	NA	1000 Genomes Project
NA20517	female	SAME124557	EUR	NA	1000 Genomes Project
NA19747	male	SAME123501	AMR	NA	1000 Genomes Project
NA20769	female	SAME124371	EUR	NA	1000 Genomes Project
NA19734	female	SAME124873	AMR	NA	1000 Genomes Project
NA19684	female	SAME122941	AMR	NA	1000 Genomes Project
NA20771	female	SAME124577	EUR	NA	1000 Genomes Project
NA19741	male	SAME124718	AMR	NA	1000 Genomes Project
NA19704	female	SAME124236	AFR	NA	1000 Genomes Project
NA20536	male	SAME124167	EUR	NA	1000 Genomes Project
NA19746	female	SAME123502	AMR	NA	1000 Genomes Project
NA19711	male	SAME124446	AFR	NA	1000 Genomes Project
NA20543	male	SAME125149	EUR	NA	1000 Genomes Project
NA19716	female	SAME124450	AMR	NA	1000 Genomes Project
NA20757	female	SAME124176	EUR	NA	1000 Genomes Project
NA19703	male	SAME124230	AFR	NA	1000 Genomes Project
NA20764	female	SAME124368	EUR	NA	1000 Genomes Project
NA20803	male	SAME125367	EUR	NA	1000 Genomes Project
NA19758	female	SAME123706	AMR	NA	1000 Genomes Project
NA19475	female	SAME123121	AFR	NA	1000 Genomes Project
NA20505	female	SAME124359	EUR	NA	1000 Genomes Project
NA19722	female	SAME124696	AMR	NA	1000 Genomes Project
NA20911	male	SAME123101	SAS	NA	1000 Genomes Project
NA19777	male	SAME124063	AMR	NA	1000 Genomes Project
NA19759	male	SAME123707	AMR	NA	1000 Genomes Project
NA21089	female	SAME123142	SAS	NA	1000 Genomes Project
NA19761	female	SAME123894	AMR	NA	1000 Genomes Project
NA21091	male	SAME123321	SAS	NA	1000 Genomes Project
NA19676	male	SAME122790	AMR	NA	1000 Genomes Project
NA20808	female	SAME122813	EUR	NA	1000 Genomes Project
NA19773	female	SAME124067	AMR	NA	1000 Genomes Project
NA20810	male	SAME125192	EUR	NA	1000 Genomes Project
NA20815	male	SAME125187	EUR	NA	1000 Genomes Project
NA20314	female	SAME125304	AFR	NA	1000 Genomes Project
NA20822	female	SAME123073	EUR	NA	1000 Genomes Project
NA20827	male	SAME123071	EUR	NA	1000 Genomes Project
NA20318	male	SAME123802	AFR	NA	1000 Genomes Project
NA20321	female	SAME123996	AFR	NA	1000 Genomes Project
NA20846	male	SAME123431	SAS	NA	1000 Genomes Project
NA20320	female	SAME123997	AFR	NA	1000 Genomes Project
NA20889	male	SAME125305	SAS	NA	1000 Genomes Project
NA20332	female	SAME124198	AFR	NA	1000 Genomes Project
NA19780	male	SAME123147	AMR	NA	1000 Genomes Project
NA20891	male	SAME123670	SAS	NA	1000 Genomes Project
NA19785	female	SAME123150	AMR	NA	1000 Genomes Project
NA20896	female	SAME123665	SAS	NA	1000 Genomes Project
NA19835	female	SAME125029	AFR	NA	1000 Genomes Project
NA20904	male	SAME122916	SAS	NA	1000 Genomes Project
NA19900	male	SAME125050	AFR	NA	1000 Genomes Project
NA20853	female	SAME123243	SAS	NA	1000 Genomes Project
NA19920	male	SAME124713	AFR	NA	1000 Genomes Project
NA20858	male	SAME123207	SAS	NA	1000 Genomes Project
NA20282	female	SAME124583	AFR	NA	1000 Genomes Project
NA20877	female	SAME123598	SAS	NA	1000 Genomes Project
NA20351	male	SAME124596	AFR	NA	1000 Genomes Project
NA20287	female	SAME124580	AFR	NA	1000 Genomes Project
NA20884	male	SAME124514	SAS	NA	1000 Genomes Project
NA20356	male	SAME124598	AFR	NA	1000 Genomes Project
NA19982	male	SAME124293	AFR	NA	1000 Genomes Project
NA21104	male	SAME124436	SAS	NA	1000 Genomes Project
NA20274	female	SAME123615	AFR	NA	1000 Genomes Project
NA20872	female	SAME122842	SAS	NA	1000 Genomes Project
NA20294	female	SAME124776	AFR	NA	1000 Genomes Project
NA21109	male	SAME124443	SAS	NA	1000 Genomes Project
NA20281	male	SAME124584	AFR	NA	1000 Genomes Project
NA20299	female	SAME124381	AFR	NA	1000 Genomes Project
NA21111	male	SAME124179	SAS	NA	1000 Genomes Project
NA21116	male	SAME124186	SAS	NA	1000 Genomes Project
NA19901	female	SAME125049	AFR	NA	1000 Genomes Project
NA21130	male	SAME123834	SAS	NA	1000 Genomes Project
NA19789	male	SAME123152	AMR	NA	1000 Genomes Project
NA19792	male	SAME123327	AMR	NA	1000 Genomes Project
NA21135	male	SAME123829	SAS	NA	1000 Genomes Project
NA21142	female	SAME123344	SAS	NA	1000 Genomes Project
NA20298	male	SAME124382	AFR	NA	1000 Genomes Project
NA20504	female	SAME124360	EUR	NA	1000 Genomes Project
NA19917	female	SAME125272	AFR	NA	1000 Genomes Project
NA20528	male	SAME124012	EUR	NA	1000 Genomes Project
NA20530	female	SAME124169	EUR	NA	1000 Genomes Project
NA20535	female	SAME124166	EUR	NA	1000 Genomes Project
NA21123	male	SAME124031	SAS	NA	1000 Genomes Project
NA21128	male	SAME124022	SAS	NA	1000 Genomes Project
NA20503	female	SAME124357	EUR	NA	1000 Genomes Project
NA20589	female	SAME122865	EUR	NA	1000 Genomes Project
NA20340	male	SAME124400	AFR	NA	1000 Genomes Project
NA20755	male	SAME124174	EUR	NA	1000 Genomes Project
NA20542	female	SAME125150	EUR	NA	1000 Genomes Project
NA20508	female	SAME124355	EUR	NA	1000 Genomes Project
NA20585	female	SAME122861	EUR	NA	1000 Genomes Project
NA20510	male	SAME124562	EUR	NA	1000 Genomes Project
NA20509	male	SAME124354	EUR	NA	1000 Genomes Project
NA20786	female	SAME123610	EUR	NA	1000 Genomes Project
NA20511	male	SAME124563	EUR	NA	1000 Genomes Project
NA20798	male	SAME123821	EUR	NA	1000 Genomes Project
NA20516	male	SAME124556	EUR	NA	1000 Genomes Project
NA20515	male	SAME124559	EUR	NA	1000 Genomes Project
NA20756	female	SAME124175	EUR	NA	1000 Genomes Project
NA20522	female	SAME124017	EUR	NA	1000 Genomes Project
NA20763	male	SAME124365	EUR	NA	1000 Genomes Project
NA20539	male	SAME124164	EUR	NA	1000 Genomes Project
NA20814	male	SAME125188	EUR	NA	1000 Genomes Project
NA20541	female	SAME125147	EUR	NA	1000 Genomes Project
NA20819	female	SAME125183	EUR	NA	1000 Genomes Project
NA20767	male	SAME124369	EUR	NA	1000 Genomes Project
NA20821	female	SAME123075	EUR	NA	1000 Genomes Project
NA20774	female	SAME124572	EUR	NA	1000 Genomes Project
NA20826	female	SAME123070	EUR	NA	1000 Genomes Project
NA20527	male	SAME124013	EUR	NA	1000 Genomes Project
NA20799	female	SAME123822	EUR	NA	1000 Genomes Project
NA20534	male	SAME124165	EUR	NA	1000 Genomes Project
NA20802	female	SAME125366	EUR	NA	1000 Genomes Project
NA20762	male	SAME124744	EUR	NA	1000 Genomes Project
NA20807	female	SAME125363	EUR	NA	1000 Genomes Project
NA20868	female	SAME123800	SAS	NA	1000 Genomes Project
NA20768	female	SAME124372	EUR	NA	1000 Genomes Project
NA20870	male	SAME122839	SAS	NA	1000 Genomes Project
NA20770	male	SAME124576	EUR	NA	1000 Genomes Project
NA20875	female	SAME123596	SAS	NA	1000 Genomes Project
NA20775	female	SAME124573	EUR	NA	1000 Genomes Project
NA20899	female	SAME123140	SAS	NA	1000 Genomes Project
NA20869	female	SAME123801	SAS	NA	1000 Genomes Project
NA20902	female	SAME122922	SAS	NA	1000 Genomes Project
NA20876	female	SAME123599	SAS	NA	1000 Genomes Project
NA20832	female	SAME122894	EUR	NA	1000 Genomes Project
NA20890	male	SAME123671	SAS	NA	1000 Genomes Project
NA20849	female	SAME123433	SAS	NA	1000 Genomes Project
NA20895	male	SAME123666	SAS	NA	1000 Genomes Project
NA20851	female	SAME123245	SAS	NA	1000 Genomes Project
NA20845	male	SAME123430	SAS	NA	1000 Genomes Project
NA20801	male	SAME125365	EUR	NA	1000 Genomes Project
NA20852	male	SAME123244	SAS	NA	1000 Genomes Project
NA20806	male	SAME125362	EUR	NA	1000 Genomes Project
NA20813	female	SAME125189	EUR	NA	1000 Genomes Project
NA20888	female	SAME125258	SAS	NA	1000 Genomes Project
NA20818	female	SAME125184	EUR	NA	1000 Genomes Project
